ablation_type,ablation_percentage,mae,mae_std,mse,mse_std,rmse,rmse_std,r2,r2_std,mae_norm,mae_norm_std,mse_norm,mse_norm_std,rmse_norm,rmse_norm_std,r2_norm,r2_norm_std,mae_degradation,mse_degradation,rmse_degradation,r2_degradation
MLP Ablation,0.0,0.5610566360866589,0.0,0.5523621160604908,1.1702778228589004e-16,0.7432106808035598,0.0,0.8670928321492097,1.1702778228589004e-16,0.2660408318042755,0.0,0.12419584393501282,0.0,0.35241430722235556,0.0,0.8670928478240967,0.0,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16
MLP Ablation,0.1,0.5655318253819883,0.011900485717470533,0.554628003570077,0.01881811202979123,0.7446378565225461,0.012581565155465935,0.8665476233399678,0.004527939012212306,0.2681628555059433,0.005642951609207123,0.12470530867576599,0.004231156717154349,0.3530910305889427,0.0059659025026750166,0.8665476143360138,0.004527927074732348,0.004475189295329418,0.0022658875095861175,0.0014271757189863177,0.0005452088092418039
MLP Ablation,0.2,0.594754432148523,0.02264401078844341,0.5953502993361525,0.03236231347582218,0.7713412603082833,0.02062790672262475,0.856749187058254,0.007786890708304776,0.2820195764303207,0.010737289490366083,0.13386151492595671,0.007276506470149683,0.365753206875125,0.009781307940190056,0.8567491769790649,0.00778689084004684,0.03369779606186407,0.04298818327566156,0.02813057950472353,0.010343645090955644
MLP Ablation,0.3,0.6174333961723397,0.02267365354643744,0.6352940189828038,0.03264896211765401,0.7968154453082512,0.020525461180826234,0.8471380886550446,0.007855862960467648,0.2927734464406967,0.010751351352802797,0.14284265488386155,0.007340954310754321,0.37783250458981926,0.009732725965398736,0.847138088941574,0.007855862005120354,0.05637676008568082,0.0829319029223129,0.05360476450469143,0.01995474349416504
MLP Ablation,0.4,0.6501135584849674,0.015122448406814799,0.6910053965138371,0.035205246901429205,0.8310172675509611,0.021491536989952497,0.8337330393415161,0.008470946002828992,0.308269664645195,0.007170733337588841,0.15536907464265823,0.007915719338677869,0.39405025975668334,0.010190814401466476,0.8337330460548401,0.008470939599361746,0.08905692239830854,0.13864328045334617,0.08780658674740127,0.03335979280769352
MLP Ablation,0.5,0.7196066220263201,0.04503326174594098,0.8491590154541596,0.11564157494757676,0.919631016747406,0.061804427118414336,0.7956787467542066,0.02782521423030427,0.3412217617034912,0.02135379814152914,0.19092911928892137,0.02600142496817934,0.43606896859330346,0.029306311775486756,0.7956787347793579,0.027825209544747345,0.1585499859396612,0.2967968993936687,0.1764203359438462,0.07141408539500305
MLP Ablation,0.6,0.7847410239452153,0.0629093647414173,1.0696322298789926,0.1964904405481166,1.0300312335052149,0.09813758982344106,0.742629361823261,0.04727874559765128,0.37210707664489745,0.02983024339610254,0.24050141274929046,0.04417988552110613,0.48841834708165743,0.04653470608424162,0.7426293373107911,0.04727875397996861,0.22368438785855638,0.5172701138185017,0.2868205527016551,0.12446347032594862
MLP Ablation,0.7,0.8696950104006508,0.06117134193967363,1.30520005196669,0.19457099994248087,1.1393643316083488,0.08849966619742504,0.6859479726401079,0.046816897459744385,0.4123903959989548,0.029006117469683308,0.2934676557779312,0.0437483146246485,0.5402617232211385,0.0419646173719545,0.6859479546546936,0.046816897431621325,0.3086383743139919,0.7528379359061991,0.39615365080478904,0.18114485950910175
MLP Ablation,0.8,0.931478396792151,0.07755467600664141,1.5203205685944725,0.23038055266692342,1.2296005922739028,0.09662615285579536,0.6341865324900987,0.05543324911788021,0.4416867345571518,0.03677473622747922,0.3418364018201828,0.051799917322101166,0.5830497744694723,0.04581802545917949,0.6341865122318268,0.05543326643094383,0.37042176070549215,0.9679584525339816,0.48638991147034305,0.23290629965911092
MLP Ablation,0.9,1.021839075032351,0.061734715450014556,1.8594105843140507,0.21505708833757387,1.3615595704315298,0.07864208994876822,0.5525960462395288,0.05174617828796573,0.4845338076353073,0.02927324103138898,0.41807909309864044,0.04835450639159501,0.6456218543132122,0.03729036711791187,0.5525960206985474,0.05174619094610283,0.46078243894569204,1.30704846825356,0.61834888962797,0.3144967859096808
MLP Ablation,1.0,1.1075946382912503,0.0,2.1723900248642245,0.0,1.473902990316603,0.0,0.47728818237709686,5.851389114294502e-17,0.5251972079277039,0.0,0.48845094442367554,0.0,0.6988926558661748,1.1702778228589004e-16,0.4772881269454956,0.0,0.5465380022045914,1.6200279088037335,0.7306923095130432,0.38980464977211277
Attention Ablation,0.0,0.5610566360866589,0.0,0.5523621160604908,1.1702778228589004e-16,0.7432106808035598,0.0,0.8670928321492097,1.1702778228589004e-16,0.2660408318042755,0.0,0.12419584393501282,0.0,0.35241430722235556,0.0,0.8670928478240967,0.0,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16
Attention Ablation,0.1,0.5651630326166903,0.02491287930309404,0.5501772367385487,0.04003374883340378,0.7413015988221433,0.02685715965545286,0.8676185490916499,0.009632760866813111,0.26798798739910124,0.011813141610826808,0.12370457723736764,0.009001386632951436,0.3515090513889492,0.012735079679926431,0.8676185548305512,0.009632757799644162,0.00410639653003142,-0.0021848793219422236,-0.0019090819814164828,-0.0005257169424403019
Attention Ablation,0.2,0.5686590003416985,0.03152322915231651,0.5593700692826509,0.04786467378013027,0.7472949919247118,0.03197680282287597,0.8654066064141229,0.011517006773727448,0.2696456953883171,0.014947625084743184,0.12577153593301774,0.010762129784743493,0.35435098301318674,0.015162701701725038,0.8654066026210785,0.011517007765754199,0.007602364255039573,0.007007953222159968,0.00408431112115204,0.0016862257350866994
Attention Ablation,0.3,0.6002819799721661,0.025045107441408674,0.6087286611722218,0.05294433720065372,0.7795576594982554,0.03364052929005988,0.8535301390272332,0.012739255112683227,0.28464061617851255,0.011875843856152514,0.13686956837773323,0.011904268356892867,0.36964923912944475,0.015951606981249127,0.8535301387310028,0.012739258161728521,0.03922534388550725,0.05636654511173089,0.03634697869469561,0.013562693121976443
Attention Ablation,0.4,0.6409711197658097,0.03349625677518021,0.6856634639062734,0.06900074803093278,0.8271346445558159,0.04098432873669051,0.8350183938455229,0.01660268460441079,0.30393452644348146,0.015883188885465544,0.15416797250509262,0.015514470291791309,0.39220921021497246,0.019433874424718663,0.8350183844566346,0.016602691266858986,0.07991448367915077,0.13330134784578251,0.08392396375225608,0.032074438303686725
Attention Ablation,0.5,0.7426398700992911,0.05298929388564999,0.9256317404374673,0.14005103669150656,0.9596628279921069,0.07210329787232825,0.7772781848766959,0.03369852149526635,0.35214362740516664,0.025126377112148875,0.2081236332654953,0.03148976490793328,0.455051189105696,0.03418980613164218,0.7772781670093536,0.03369852545749901,0.1815832340126322,0.3732696243769764,0.2164521471885471,0.08981464727251376
Attention Ablation,0.6,0.7964206372734799,0.09818787329824652,1.0760158861700202,0.2827935957799945,1.029068784142515,0.1375714912063559,0.741093351924131,0.06804466636764102,0.37764529287815096,0.04655854968116833,0.24193673729896545,0.06358471188103038,0.4879619663857479,0.06523339856852223,0.7410933494567871,0.0680446585782865,0.235364001186821,0.5236537701095293,0.2858581033389552,0.12599948022507867
Attention Ablation,0.7,0.8794480861126708,0.09387199126526777,1.2891857328640088,0.3026420163713762,1.128660039831839,0.1304362226053617,0.6898012741883318,0.07282051411391,0.4170150965452194,0.04451204065573103,0.28986690789461134,0.06804753126769808,0.535185973459891,0.061850013081829025,0.6898012638092041,0.0728205187101683,0.3183914500260119,0.7368236168035179,0.38544935902827915,0.1772915579608778
Attention Ablation,0.8,1.0506856944258296,0.12642421971167359,1.8826015448058093,0.4229139240134626,1.363777124792771,0.1588622698292509,0.547015929882741,0.10175986051718681,0.4982122331857681,0.05994761061399161,0.4232934683561325,0.09509006197831993,0.6466733742331924,0.07532902210370232,0.5470158994197846,0.10175986213473072,0.4896290583391707,1.3302394287453185,0.6205664439892112,0.3200769022664687
Attention Ablation,0.9,1.25233970213811,0.1934069247895549,2.6201617468827036,0.7248657049241336,1.6031574152599906,0.23581548526009838,0.3695471377131466,0.1744142929293197,0.5938321650028229,0.09170933301909284,0.5891301602125167,0.16298241028803612,0.7601822854392772,0.111818568905338,0.36954708099365235,0.17441430309979603,0.6912830660514511,2.0677996308222126,0.8599467344564308,0.497545694436063
Attention Ablation,1.0,1.5945028051450698,2.340555645717801e-16,4.157453043880757,0.0,2.0389833358516585,0.0,-0.0003497587338650021,0.0,0.7560784220695496,0.0,0.9347823262214661,0.0,0.9668414173076505,1.1702778228589004e-16,-0.0003497600555419922,0.0,1.033446169058411,3.605090927820266,1.2957726550480988,0.8674425908830746
Combined Ablation,0.0,0.5610566360866589,0.0,0.5523621160604908,1.1702778228589004e-16,0.7432106808035598,0.0,0.8670928321492097,1.1702778228589004e-16,0.2660408318042755,0.0,0.12419584393501282,0.0,0.35241430722235556,0.0,0.8670928478240967,0.0,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16
Combined Ablation,0.1,0.5731848660954545,0.02795907611934493,0.559512803019905,0.047814072616834374,0.7474020344940385,0.03167546990052282,0.8653722623919252,0.011504831323767967,0.2717917710542679,0.013257594458188525,0.12580363005399703,0.010750750662762829,0.3544017419696429,0.015019814427012076,0.8653722524642944,0.011504832471594818,0.012128230008795593,0.007150686959414121,0.0041913536904787385,0.001720569757284407
Combined Ablation,0.2,0.6041621154270488,0.03502225781085515,0.6023093631852694,0.04837827841715162,0.7755137182276294,0.03140835037633419,0.8550747248889883,0.01164058827165566,0.28648050129413605,0.01660679996557874,0.13542622029781343,0.010877609876509417,0.3677316887571424,0.014893152103998828,0.8550747215747834,0.011640592031915116,0.043105479340389885,0.04994724712477849,0.03230303742406959,0.012018107260221345
